"Consecutive
number","Mandatory or “apply or
explain” or “good practices”","Part
number",Question,"Kenya code and other
references"
48,A or E,E.1,"Does the Board ensure that all deliberations,
decisions and actions are founded on the core
values (responsibility, accountability, fairness
and transparency) underpinning good
governance and sustainability?",5.1.1
49,M,E.2,"Has the Board developed and publicly
disclosed a Code of Ethics and Conduct (which
includes sustainability) and has it worked to
ensure its application by all directors,
management and employees?","2.6.1, 5.2.2, 5.2.3, 5.2.4"
50,A or E,E.3,"Does the Board ensure that compliance with
the Ethics Code and Conduct is integrated into
Company operations?",5.2.3
51,A or E,E.4,"Does the Board incorporate ethical and
sustainability risks and opportunities in the
risk management process?",5.2.1
52,A or E,E.5,"Is the Company performance on ethics
assessed, monitored and disclosed to internal
and external stakeholders?","5.2.4, 5.2.5"
53,A or E,E.6,"Has the Company established and
implemented a whistleblowing policy?",5.2.5
54,A or E,E.7,"Has the Board/or management developed
policies on corporate citizenship and
sustainability and strategies for Company use?","5.3.1, 5.4"
55,M,E.8,"Does the Board consider not only the financial
performance but also the impact of the
Company’s operations on society and the
environment?","5.3.2, 5.3.3"
56,A or E,E.9,"Does the Board monitor and report activities
on corporate citizenship and sustainability and
demonstrate they are well coordinated?",5.4.1
