Number of Board Members,8
Number of Independent Non-Executive Directors,5
Number of Non-Executive Directors representing Trading Participants,1
Number of Non-Executive Directors representing Listed Companies,2
Number of Executive Directors,1
Number of women on the Board,3
Separate Chairman and CEO,YES
Terms of Reference for Board Committees,YES
Independent Audit Committee,YES
Number of Board Meetings held in 2024,8
Number of Annual General Meetings in 2024,1
Re-election of Directors in accordance with Articles of Association,YES
Board Induction Programs conducted,YES
