Number of Board Members,11
Number of Independent Non-Executive Directors,4
Number of Non-Executive Directors,2
Number of Trading Participant Non-Executive Directors,2
Number of Non-Executive Directors representing Listed Companies,2
Number of Executive Directors,1
Number of women on the Board,3
Separate Chairman and CEO,Yes
Terms of Reference for Board Committees,Yes
Independent Audit Committee,Yes
Number of financial experts on Audit Committee,3
Number of Board Meetings held in 2017,7
Number of Annual General Meetings in 2017,1
Re-election of Directors in accordance with Articles of Association,Yes
Board Induction Programs conducted,"None
required"
