2014,2013,2012,2011,2010
"13,038,918","11,149,291","9,246,386","6,826,952","4,882,762"
"3,776,851","3,349,992","3,074,041","2,744,867","2,874,831"
"16,815,769","14,499,283","12,320,427","9,571,819","7,757,593"
"9,372,496","8,133,815","7,012,595","4,896,202","4,020,853"
"(851,210)","(898,812)","(984,696)","(588,789)","(557,854)"
"8,521,286","7,235,003","6,027,899","4,307,413","3,462,999"
"5,083,519","4,756,635","3,627,766","2,656,797","2,284,824"
"211,539,412","166,520,351","135,461,412","107,765,064","83,600,177"
"137,654,551","110,945,439","87,707,243","71,297,721","51,260,068"
"163,348,180","133,506,710","109,702,558","88,131,356","68,604,930"
"28,963,235","20,950,855","16,522,162","11,593,302","8,939,503"
"581,064","462,210","418,190","332,596","260,859"
Shs 21.92,Shs 20.97,Shs. 15.99,Shs. 11.71,Shs. 10.07
Shs 21.92,Shs 20.51,Shs. 15.64,Shs. 11.46,Shs. 9.85
Shs. 2.40,Shs. 2.10,Shs. 1.90,Shs. 1.70,Shs. 1.60
Shs. 2.40,Shs. 1.90,Shs. 1.70,Shs. 1.40,Shs. 1.10
84.3%,83.1%,80.0%,80.9%,74.7%
1.1%,1.1%,1.1%,0.9%,1.3%
3.0%,3.5%,3.3%,3.1%,3.3%
20.4%,24.4%,25.8%,25.9%,28.7%
22.5%,23.1%,25.0%,28.7%,37.1%
110,98,90,76,65
"1,885","1,745","1,514","1,264","1,101"
"1,388,890","3,051,222","1,258,974","666,208","438,509"
21.8%,18.3%,16.4%,13.7%,14.7%
16.8%,17.1%,17.7%,14.2%,15.3%
18.9%,20.5%,19.8%,16.8%,18.4%
