Column,"Class as defined
by IFRS 9 and as
determined by
the group",Subclasses
Financial assets,"Financial assets at
fair value through
profit and loss
(FVTPL)",Government securities held for trading
,"Investments as
at fair value
through other
comprehensive
income (FVTOCI)","Equity investments
Government securities acquired for both holding
and selling"
,"Financial assets at
amortised cost",Loans and advances to customers
,,"Deposits and balances due from banking
institutions"
,,"Government securities held to collect
contractual cashflows
Cash and balances with Central Banks
Corporate bond
Other assets"
"Financial
liabilities","Financial
liabilities at
amortised cost",Customer deposits
,,"Deposits and balances due to banking
institutions"
,,Other liabilities
,,Borrowings
"Off-balance
sheet financial
instruments","Off-balance
sheet financial
instruments","Guarantees, acceptances and other financial
facilities"
