Subsidiary,"Date of
incorporation","Date
operations
commenced","Licensed
Business","Principal
Regulator"
Britam Life Assurance Company (Kenya) Limited,1979,1979,"Life assurance
business","Insurance
Regulatory
Authority"
Britam General Insurance Company (Kenya),2015,2016,"Non-life
insurance
business","Insurance
Regulatory
Authority"
Britam Insurance Company (Uganda) Limited,2010,2010,"Life and Non-
life insurance
business","Uganda
Insurance
Commission"
Britam Insurance Company Limited (South Sudan),2012,2012,"Life and Non-
life insurance
business","Bank of South
Sudan"
Britam Insurance Company (Rwanda) Limited,2014,2014,"Non-life
insurance
business","National Bank
of Rwanda"
Britam - Companhia De Seguros De Mozambique S.A,2010,2010,"Non-life
insurance
business","Institute of
Insurance
Supervision of
Mozambique"
Britam Insurance (Tanzania) Limited,1998,1998,"Non-life
insurance
business","Tanzania
Insurance
Regulatory
Authority"
Britam Insurance Company Limited (Malawi),2007,1959,"Non-life
insurance
business","Reserve Bank
of Malawi"
Britam Asset Managers (Kenya) Limited,2004,2004,"Investment
advisory
and fund
management
services","Capital Markets
Authority &
Retirement
Benefits
Authority,
Kenya"
Britam Properties (Kenya) Limited,2012,2014,"Property
development",Not applicable
Britam Asset Managers (Uganda) Limited,2012,2017,"Fund
management
services","Capital Markets
Authority,
Uganda"
