"36,436,197","25,769,463"
"(26,854,848)","(20,555,206)"
"(5,831,125)","(2,891,568)"
"3,750,224","2,322,689"
"644,449","643,237"
"9,387,574","2,892,824"
"6,228,379","10,115,120"
"33,930","(5,085)"
"(4,682,791)","(2,323,765)"
"11,611,541","11,322,331"
"(9,139,705)","(9,558,829)"
"578,932","500,205"
"(8,560,773)","(9,058,624)"
"6,800,992","4,586,396"
"639,750","658,465"
"766,128","540,086"
"(199,527)","(187,172)"
"(3,154,028)","(2,400,696)"
"(247,135)","(272,917)"
"4,606,180","2,924,162"
"213,315","(2,760)"
"4,819,495","2,921,402"
"(1,540,376)","(1,260,755)"
"3,279,119","1,660,647"
"3,255,890","1,557,928"
"23,229","102,719"
