Express Keny,a Limited,Column
The audited results for the group as at 31 December 2010 are annouced as follows :,,
Consolidated Income Statement For The Year Ended 31 December 2010,,
Total,Consolidated 2010,Total Consolidated 2009
,Kshs 000',Kshs 000'
Revenue,"856,512","892,928"
Cost of sales,"(484,586)","(500,610)"
Gross Profit,"371,926","392,318"
Profit on sale of property and equipment,"6,400","2,418"
Fair value changes on investment property,"(29,723)",0
Operating expenses,"(178,982)","(183,613)"
"Depreciation on property, plant and equipment","(84,441)","(131,611)"
Profit from operations,"85,180","79,512"
Net financing costs,"(100,049)","(53,596)"
(Loss)/Profit before tax,"(14,869)","25,916"
Tax,"(13,222)","(10,846)"
(Loss)/Profit after tax,"(28,091)","15,070"
Less Minority interest,"22,700","(9,847)"
(Loss)/Profit attributable to equity holders,"(5,391)","5,223"
Basic and diluted (loss)/earnings per share,Kshs (0.15),Kshs 0.15
Consolidated Cash Flow Statements For The Year Ended 31 December 2010,,
,2010,2009
,Kshs 000',Kshs 000'
Cash and cash equivalent at 1 January,"(157,779)","(254,880)"
Net Cash :,,
