The Co-operative Bank of Kenya Limited and Kenyan subsidiaries: -,Column
"J. K. Murugu, OGW",- Chairman
"M. Malonza, MBS, HSC",- Vice Chairman
"Dr. G. Muriuki, CBS, MBS",- Group Managing Director & CEO
L. C. Karissa,"- Chairman, Staff and Nominations Committee"
Margaret Karangatha (Mrs),"- Chairperson, Board Credit Committee"
Mrs. Weda Welton,"- Chairperson, Board Audit Committee"
"W. Ongoro, HSC",
Wanyambura Mwambia,"- Representing PS, National Treasury (Chairman, Board Risk Committee)"
J. Sitienei,
R. L. Kimanthi,
S. Odhiambo (Mrs),
P. K. Githendu,
G. K. Mburia,
B. W. Simiyu,
J. N. Njiru,
D. M. Muthigani,
David Kirk Obonyo,- Commissioner of Co-operatives
F. Ngone,
G. M’Nairobi,
M. M. Muthigani,
