"I BALANCE SHEET
A. ASSETS","30.06.2020
KShs. '000
Un-audited","31.12.2020
KShs. '000
Audited","31.03.2021
KShs. '000
Un-audited","30.06.2021
KShs. '000
Un-audited"
1. Cash (both local and foreign),"3,556,797","3,675,054","3,780,235","2,985,141"
2. Balances due from Central Bank of Kenya,"24,915,890","16,944,010","21,325,908","25,876,160"
3. Kenya Government and other securities held for dealing purposes,"3,549,885","4,926,569","4,251,728","2,694,219"
4. Financial Assets at fair value through profit and loss,"789,511","760,132","678,827","620,015"
5. Investment Securities:,,,,
a) Amortised cost:,,,,
i. Kenya Government securities,-,-,-,-
ii. Other securities,-,-,-,-
b) Fair Value through other comprehensive income (FVOCI),,,,
i. Kenya Government securities,"101,176,614","94,852,653","98,158,546","98,686,940"
ii. Other securities,-,-,-,-
6. Deposits and balances due from local banking institutions,"4,063,784","7,361,658","3,502,589","5,553,065"
7. Deposits and balances due from banking institutions abroad,"413,958","171,538","182,978","133,093"
8. Tax recoverable,"391,291","441,196","63,352","1,459,639"
9. Loans and advances to customers (net),"134,317,139","121,524,227","117,873,460","130,275,654"
10. Balances due from banking institutions in the group,"42,584,188","62,756,124","74,996,614","65,172,933"
11. Investments in associates,-,-,-,-
12. Investments in subsidiary companies,-,-,-,-
13. Investments in joint ventures,-,-,-,-
14. Investment properties,-,-,-,-
15. Property and equipment,"3,715,016","3,855,942","3,717,305","3,633,367"
16. Prepaid lease rentals,-,-,-,-
17. Intangible assets,"3,208,924","3,022,992","3,696,763","3,834,906"
18. Deferred tax asset,"1,499,273","2,536,206","3,135,033","1,588,394"
19. Retirement benefit asset,-,-,-,-
20. Other assets,"3,016,241","2,776,769","3,894,886","3,132,815"
21.TOTAL ASSETS,"327,198,511","325,605,070","339,258,224","345,646,341"
B. LIABILITIES,,,,
22. Balances due to Central Bank of Kenya,-,-,-,-
23. Customer deposits,"256,496,288","256,497,530","265,249,883","278,186,884"
24. Deposits and balances due to local banking institutions,"1,841,392","164,664","131,060","54,955"
25. Deposits and balances due to foreign banking institutions,"452,415","288,964","1,024,911","536,413"
26. Other money market deposits,-,-,-,-
27. Borrowed funds,-,-,-,-
28. Balances due to banking institutions in the group,"11,147,383","11,208,987","12,413,341","8,621,014"
29. Tax payable,-,-,"1,052,011","64,689"
30. Dividends payable,"403,225","262,105","257,570","257,308"
31. Deferred tax liability,-,-,-,-
32. Retirement benefit liability,"132,432","163,717","163,478","19,740"
33. Other liabilities,"5,004,765","6,129,065","6,076,789","6,198,969"
34. TOTAL LIABILITIES,"275,477,900","274,715,032","286,369,043","293,939,972"
C. SHAREHOLDERS' FUNDS,,,,
35. Paid up/Assigned Capital,"1,997,553","2,169,253","2,169,253","2,169,253"
36. Share premium/ (Discount),"7,792,427","7,792,427","7,792,427","7,792,427"
37. Revaluation reserves,"727,226","899,621","897,038","894,455"
38. Retained earnings/ (Accumulated losses),"33,679,776","31,880,197","34,481,486","36,374,771"
39. Statutory loan loss reserves,"1,302,223","969,283","761,639","1,358,939"
40. Other Reserves (Fair value),"1,657,914","1,158,562","774,718","1,230,252"
41. Proposed dividends,"2,661,020","4,135,431","4,135,431",-
42.Capital grants,"1,902,472","1,885,264","1,877,189","1,886,272"
43. TOTAL SHAREHOLDERS' EQUITY,"51,720,611","50,890,038","52,889,181","51,706,369"
44 Minority Interest,-,-,-,-
45. TOTAL LIABILITIES AND SHAREHOLDERS' EQUITY,"327,198,511","325,605,070","339,258,224","345,646,341"
