2008,2007 2006 2005 2004 2003 2002 2001 2000 1999
,Shs million
"2,871","3,606 3,393 2,370 2,094 2,029 1,711 1,555 1,619 1,809"
225,225 180 180 180 180 180 180 180 180
"11,730","9,333 6,504 5,115 4,081 3,310 2,812 2,474 2,018 2,117"
"20,203","17,942 15,356 11,591 9,724 8,406 6,629 5,649 5,201 5,308"
"1,740","1,534 1,289 1,000 558 552 359 359 355 418"
901,810 665 471 359 313 213 170 117 139
636,617 528 348 241 213 164 121 78 94
191,191 153 144 90 81 63 63 63 63
3.33,3.23 3.45 2.42 2.68 2.63 2.61 1.92 1.24 1.5
-,1:4 - - - - - - - -
14.14,13.71 11.73 7.73 5.36 4.73 3.64 2.69 1.73 2.09
