Column,31 December 2015
"Current price, FRw",280
"Market Cap, US$ mln",258
Free float,45%
Free float in US$ mln,113.4
Average daily turnover in US$ mln,0.22
"Common shares outstanding, mlnshares",672.2
12-month high,319
12-month low,280
P/E 2015(based on current price),8.46x
P/BV 2015 (based on current price),1.88x
"Dividend yield, 2014 (based on current price)",5.8%
"EPSannualised,9M 2015",32.0
Ticker Code,BOK
Bloomberg,BOK. RW
FRw/USD Exchange Rate of 747.1 as at31 December 2015 (BNR Middle Rate),
*Capitalgains on RSE transactions are exempted from Capital Gains Tax,
